Date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,JPM,V,JNJ,WMT,BABA,NVO,SAP,TM,SIE.DE,MELI,VALE,RDS-A,PTR,INFY
2010-01-04,,,15.6098051071167,,,,,,,,,,36.68959045410156,,,49.02159881591797,,,,4.97113037109375
2010-01-05,,,15.54106330871582,,,,,,,,,,36.46372985839844,,,50.271610260009766,,,,4.99039888381958
2010-01-06,,,15.149293899536133,,,,,,,,,,37.3126220703125,,,49.680519104003906,,,,4.91420316696167
2010-01-07,,,14.796625137329102,,,,,,,,,,38.29391860961914,,,48.70181655883789,,,,4.764438629150391
2010-01-08,,,14.993881225585938,,,,,,,,,,38.58208084106445,,,48.944061279296875,,,,4.776700019836426
2010-01-11,,,14.971217155456543,,,,,,,,,,39.43876647949219,,,44.23475646972656,,,,4.802099227905273
2010-01-12,,,14.706466674804688,,,,,,,,,,38.589866638183594,,,43.60490417480469,,,,5.0490803718566895
2010-01-13,,,14.622035026550293,,,,,,,,,,39.24406433105469,,,43.82776641845703,,,,5.128777980804443
2010-01-14,,,14.690775871276855,,,,,,,,,,39.064945220947266,,,41.88007736206055,,,,5.145420074462891
2010-01-15,,,14.445451736450195,,,,,,,,,,38.12259292602539,,,40.84325408935547,,,,5.074477672576904
2010-01-19,,,14.635234832763672,,,,,,,,,,38.34065246582031,,,42.06419372558594,,,,5.125275135040283
2010-01-20,,,14.45566177368164,,,,,,,,,,37.59299850463867,,,40.736671447753906,,,,5.000908374786377
2010-01-21,,,14.519671440124512,,,,,,,,,,36.26902770996094,,,40.087432861328125,,,,4.8914313316345215
2010-01-22,,,13.698522567749023,,,,,,,,,,35.74722671508789,,,39.593238830566406,,,,4.739039897918701
2010-01-25,,,13.449213981628418,,,,,,,,,,35.988651275634766,,,38.44983673095703,,,,4.773196697235107
2010-01-26,,,13.509485244750977,,,,,,,,,,35.864044189453125,,,37.500221252441406,,,,4.734661102294922
2010-01-27,,,13.501516342163086,,,,,,,,,,35.988651275634766,,,38.401371002197266,,,,4.76706600189209
2010-01-28,,,13.307001113891602,,,,,,,,,,35.15532684326172,,,37.161067962646484,,,,4.584019184112549
